household_key,shop_trip_count,product_count,total_spent,total_size,age,income,household_count,per_capita_size,per_capita_cost
761,131,2132,7974.94,53119.66,30,137.5,5,10623.932,1594.988
762,396,1761,4984.34,40544.41,40,137.5,2,20272.205,2492.17
768,325,1902,5089.56,49139.28,40,62.5,2,24569.64,2544.78
77,82,2438,6720.55,64099.61,40,112.5,5,12819.922,1344.11
78,173,624,1926.22,15353.7,60,30,1,15353.7,1926.22
786,170,1844,5372.12,40186.28,22,87.5,2,20093.14,2686.06
787,115,484,1311.05,11987.43,30,30,1,11987.43,1311.05
788,180,2311,7794.84,48479.63,30,10,2,24239.815,3897.42
790,48,618,1892.79,15537.06,50,62.5,1,15537.06,1892.79
8,98,1582,4569,34279.22,30,30,3,11426.40667,1523
80,79,1162,3374,29385.59,50,62.5,2,14692.795,1687
803,64,705,2313.35,21262.13,30,87.5,2,10631.065,1156.675
806,98,1819,6238.77,45520.03,40,87.5,2,22760.015,3119.385
817,142,2106,6425.9,56736.23,40,162.5,3,18912.07667,2141.966667
831,136,2167,7222.56,45305.46,50,62.5,3,15101.82,2407.52
840,193,2180,8221.58,59037.91,40,87.5,5,11807.582,1644.316
844,129,1368,4611.53,29503.24,50,225,2,14751.62,2305.765
863,106,476,1709.39,11255.75,50,20,1,11255.75,1709.39
866,102,1782,7027.23,39316.33,50,20,2,19658.165,3513.615
868,100,1109,3746.45,23071.47,70,42.5,2,11535.735,1873.225
871,119,2354,9251.08,51746.89,40,225,3,17248.96333,3083.693333
878,153,2301,6929.9,53414.25,30,42.5,3,17804.75,2309.966667
882,193,1688,5686.12,40486.46,50,62.5,2,20243.23,2843.06
883,269,1927,9343.43,38865.91,40,42.5,2,19432.955,4671.715
886,124,1064,3465.26,24259.39,40,112.5,2,12129.695,1732.63
889,116,3680,10280.54,77185.18,30,62.5,4,19296.295,2570.135
903,63,696,2477.34,22456.9,40,42.5,1,22456.9,2477.34
906,273,1432,7081.47,30746.61,60,10,2,15373.305,3540.735
908,166,1717,7742.12,43670.84,50,112.5,3,14556.94667,2580.706667
911,66,1165,3334.69,27283.16,30,137.5,2,13641.58,1667.345
922,116,923,2921.42,22091.44,50,42.5,1,22091.44,2921.42
926,163,1786,6170.24,40488.27,40,10,2,20244.135,3085.12
929,179,1958,5053.44,40798.84,50,30,2,20399.42,2526.72
932,127,1997,6433.82,41633.43,22,20,2,20816.715,3216.91
939,138,1989,5238.11,47762.12,50,87.5,2,23881.06,2619.055
947,177,642,1679.4,16445.78,70,42.5,1,16445.78,1679.4
949,94,1789,4819.99,38493.98,30,62.5,2,19246.99,2409.995
973,74,2573,10800.76,54765.95,40,62.5,4,13691.4875,2700.19
983,163,1413,4217.97,33283.09,50,42.5,3,11094.36333,1405.99
986,78,570,1830.85,12532.4,30,42.5,1,12532.4,1830.85
996,123,971,2310.12,24000.92,60,30,2,12000.46,1155.06
